TEXT,EMOTION
I'm ready for the exam. while studying Algorithms.,confident
I'm afraid I'll fail. while studying Machine Learning.,anxious
This lesson is boring. while studying History.,bored
The test is making me nervous. while studying Chemistry.,anxious
I'm afraid I'll fail. while studying Algorithms.,anxious
The explanation is confusing. while studying Algorithms.,confused
Learning this was fun. while studying History.,happy
I'm ready for the exam. while studying English.,confident
The test is making me nervous. while studying Data Structures.,anxious
I'm afraid I'll fail. while studying Machine Learning.,anxious
I'm confident about this subject. while studying English.,confident
I studied hard but didn't succeed. while studying Physics.,sad
The class feels too slow. while studying Python.,bored
I keep making mistakes and feel frustrated. while studying English.,frustrated
I'm ready for the exam. while studying Mathematics.,confident
Learning this was fun. while studying Data Structures.,happy
I cannot follow the steps. while studying Chemistry.,confused
I'm confident about this subject. while studying Biology.,confident
I feel disappointed with my marks. while studying Mathematics.,sad
I want to understand this concept better. while studying Biology.,curious
I've tried many times but still can't solve it. while studying Physics.,frustrated
I understand everything clearly. while studying Python.,confident
I can't stay focused. while studying English.,bored
This chapter makes me ask many questions. while studying Chemistry.,curious
I'm happy with my progress. while studying Chemistry.,happy
I keep making mistakes and feel frustrated. while studying Chemistry.,frustrated
I understand everything clearly. while studying Biology.,confident
Nothing seems to work. while studying Mathematics.,frustrated
The explanation is confusing. while studying English.,confused
I keep making mistakes and feel frustrated. while studying Biology.,frustrated
I feel disappointed with my marks. while studying Algorithms.,sad
This topic doesn't make sense to me. while studying Biology.,confused
I'm losing interest. while studying English.,bored
I know I can solve these questions. while studying Algorithms.,confident
Learning this was fun. while studying History.,happy
I'm afraid I'll fail. while studying History.,anxious
I'm afraid I'll fail. while studying Biology.,anxious
I feel disappointed with my marks. while studying Python.,sad
I don't think I'm prepared. while studying Python.,anxious
I'm happy with my progress. while studying Data Structures.,happy
I'm losing interest. while studying Biology.,bored
The class feels too slow. while studying Physics.,bored
I'm worried about tomorrow's exam. while studying Biology.,anxious
Nothing seems to work. while studying Biology.,frustrated
I cannot follow the steps. while studying Chemistry.,confused
I'm sad because I failed. while studying Data Structures.,sad
I solved the problem successfully. while studying Algorithms.,happy
I feel disappointed with my marks. while studying Physics.,sad
I don't understand this lesson. while studying History.,confused
This chapter makes me ask many questions. while studying English.,curious
Learning this was fun. while studying English.,happy
I cannot follow the steps. while studying Chemistry.,confused
I'm afraid I'll fail. while studying Data Structures.,anxious
The test is making me nervous. while studying Data Structures.,anxious
I'm ready for the exam. while studying Machine Learning.,confident
I'm losing interest. while studying Chemistry.,bored
This chapter makes me ask many questions. while studying English.,curious
I solved the problem successfully. while studying Python.,happy
I can't stay focused. while studying Algorithms.,bored
I'm confident about this subject. while studying History.,confident
I cannot follow the steps. while studying Chemistry.,confused
This lesson is boring. while studying Algorithms.,bored
I'm happy with my progress. while studying Mathematics.,happy
I studied hard but didn't succeed. while studying Biology.,sad
I solved the problem successfully. while studying English.,happy
I'm confident about this subject. while studying Mathematics.,confident
This lesson is boring. while studying Mathematics.,bored
I cannot follow the steps. while studying Physics.,confused
This lesson is boring. while studying Chemistry.,bored
This chapter makes me ask many questions. while studying English.,curious
I keep making mistakes and feel frustrated. while studying Machine Learning.,frustrated
I want to understand this concept better. while studying Mathematics.,curious
Learning this was fun. while studying Python.,happy
I don't think I'm prepared. while studying Machine Learning.,anxious
I understand everything clearly. while studying History.,confident
This topic doesn't make sense to me. while studying Biology.,confused
I understand everything clearly. while studying Algorithms.,confident
The class feels too slow. while studying Data Structures.,bored
I cannot follow the steps. while studying Physics.,confused
I'm confident about this subject. while studying Python.,confident
This chapter makes me ask many questions. while studying Physics.,curious
I'm interested in learning more about this topic. while studying Physics.,curious
I enjoy exploring how this works. while studying Python.,curious
I'm losing interest. while studying Data Structures.,bored
This chapter makes me ask many questions. while studying English.,curious
I keep making mistakes and feel frustrated. while studying Biology.,frustrated
I'm happy with my progress. while studying Mathematics.,happy
I know I can solve these questions. while studying English.,confident
This lesson is boring. while studying Data Structures.,bored
I studied hard but didn't succeed. while studying Mathematics.,sad
I enjoy exploring how this works. while studying Python.,curious
I know I can solve these questions. while studying Python.,confident
I feel discouraged. while studying Algorithms.,sad
I'm worried about tomorrow's exam. while studying English.,anxious
Nothing seems to work. while studying Machine Learning.,frustrated
I'm losing interest. while studying Physics.,bored
The explanation is confusing. while studying English.,confused
I keep making mistakes and feel frustrated. while studying Physics.,frustrated
I feel discouraged. while studying Physics.,sad
Learning this was fun. while studying Machine Learning.,happy
I'm interested in learning more about this topic. while studying Machine Learning.,curious
I'm ready for the exam. while studying Algorithms.,confident
I studied hard but didn't succeed. while studying Physics.,sad
I don't think I'm prepared. while studying Biology.,anxious
This topic doesn't make sense to me. while studying Machine Learning.,confused
I'm afraid I'll fail. while studying English.,anxious
This assignment is stressing me. while studying Physics.,frustrated
I know I can solve these questions. while studying Mathematics.,confident
Nothing seems to work. while studying Machine Learning.,frustrated
I'm happy with my progress. while studying Machine Learning.,happy
I'm sad because I failed. while studying Chemistry.,sad
This lesson is boring. while studying History.,bored
Learning this was fun. while studying Algorithms.,happy
I know I can solve these questions. while studying Python.,confident
The class feels too slow. while studying Data Structures.,bored
I'm interested in learning more about this topic. while studying Data Structures.,curious
I'm worried about tomorrow's exam. while studying Mathematics.,anxious
I'm ready for the exam. while studying Data Structures.,confident
I don't understand this lesson. while studying Machine Learning.,confused
I feel discouraged. while studying Biology.,sad
I'm sad because I failed. while studying English.,sad
I don't understand this lesson. while studying Chemistry.,confused
This lesson is boring. while studying Algorithms.,bored
I'm happy with my progress. while studying History.,happy
The explanation is confusing. while studying Algorithms.,confused
The class feels too slow. while studying History.,bored
I keep making mistakes and feel frustrated. while studying Biology.,frustrated
I keep making mistakes and feel frustrated. while studying Biology.,frustrated
I'm confident about this subject. while studying History.,confident
The class feels too slow. while studying Data Structures.,bored
I want to understand this concept better. while studying Machine Learning.,curious
Nothing seems to work. while studying English.,frustrated
I'm worried about tomorrow's exam. while studying Python.,anxious
I cannot follow the steps. while studying Algorithms.,confused
I don't think I'm prepared. while studying Data Structures.,anxious
I know I can solve these questions. while studying Algorithms.,confident
I know I can solve these questions. while studying Biology.,confident
This lesson is boring. while studying Biology.,bored
I'm worried about tomorrow's exam. while studying Data Structures.,anxious
I cannot follow the steps. while studying History.,confused
I enjoy exploring how this works. while studying Data Structures.,curious
I don't understand this lesson. while studying Mathematics.,confused
I don't understand this lesson. while studying Algorithms.,confused
I feel great after understanding it. while studying Mathematics.,happy
This chapter makes me ask many questions. while studying Python.,curious
I solved the problem successfully. while studying History.,happy
I feel discouraged. while studying Biology.,sad
I'm interested in learning more about this topic. while studying Mathematics.,curious
The class feels too slow. while studying Algorithms.,bored
I studied hard but didn't succeed. while studying Python.,sad
I studied hard but didn't succeed. while studying Chemistry.,sad
This chapter makes me ask many questions. while studying Data Structures.,curious
Nothing seems to work. while studying Machine Learning.,frustrated
I don't understand this lesson. while studying Machine Learning.,confused
I'm ready for the exam. while studying English.,confident
I cannot follow the steps. while studying Physics.,confused
I want to understand this concept better. while studying Mathematics.,curious
I enjoy exploring how this works. while studying Physics.,curious
I'm worried about tomorrow's exam. while studying History.,anxious
I don't think I'm prepared. while studying Mathematics.,anxious
I know I can solve these questions. while studying Physics.,confident
I'm interested in learning more about this topic. while studying English.,curious
Learning this was fun. while studying Chemistry.,happy
I'm ready for the exam. while studying Mathematics.,confident
I don't think I'm prepared. while studying Data Structures.,anxious
I understand everything clearly. while studying Algorithms.,confident
Nothing seems to work. while studying Biology.,frustrated
This lesson is boring. while studying English.,bored
The test is making me nervous. while studying English.,anxious
I'm happy with my progress. while studying Mathematics.,happy
I studied hard but didn't succeed. while studying History.,sad
I'm ready for the exam. while studying Chemistry.,confident
This topic doesn't make sense to me. while studying Algorithms.,confused
I can't stay focused. while studying Mathematics.,bored
I'm ready for the exam. while studying Chemistry.,confident
I solved the problem successfully. while studying Biology.,happy
I understand everything clearly. while studying History.,confident
I've tried many times but still can't solve it. while studying Physics.,frustrated
Nothing seems to work. while studying Python.,frustrated
This chapter makes me ask many questions. while studying Mathematics.,curious
I cannot follow the steps. while studying Algorithms.,confused
I'm worried about tomorrow's exam. while studying Chemistry.,anxious
I feel great after understanding it. while studying Chemistry.,happy
I studied hard but didn't succeed. while studying Python.,sad
I feel disappointed with my marks. while studying History.,sad
I'm losing interest. while studying Physics.,bored
This lesson is boring. while studying Machine Learning.,bored
I feel discouraged. while studying Data Structures.,sad
I studied hard but didn't succeed. while studying Algorithms.,sad
This assignment is stressing me. while studying Biology.,frustrated
I'm interested in learning more about this topic. while studying Machine Learning.,curious
I keep making mistakes and feel frustrated. while studying Machine Learning.,frustrated
I solved the problem successfully. while studying Data Structures.,happy
I don't understand this lesson. while studying Chemistry.,confused
I'm confident about this subject. while studying Mathematics.,confident
The explanation is confusing. while studying Biology.,confused
I keep making mistakes and feel frustrated. while studying Algorithms.,frustrated
The class feels too slow. while studying Chemistry.,bored
Learning this was fun. while studying Mathematics.,happy
I understand everything clearly. while studying Mathematics.,confident
I cannot follow the steps. while studying Chemistry.,confused
I feel great after understanding it. while studying Algorithms.,happy
I feel great after understanding it. while studying Machine Learning.,happy
The explanation is confusing. while studying History.,confused
I'm interested in learning more about this topic. while studying Physics.,curious
I want to understand this concept better. while studying Chemistry.,curious
The explanation is confusing. while studying Data Structures.,confused
I enjoy exploring how this works. while studying Machine Learning.,curious
I enjoy exploring how this works. while studying Algorithms.,curious
Learning this was fun. while studying Python.,happy
I cannot follow the steps. while studying Biology.,confused
I can't stay focused. while studying Data Structures.,bored
I want to understand this concept better. while studying Mathematics.,curious
I'm sad because I failed. while studying English.,sad
I enjoy exploring how this works. while studying Biology.,curious
I feel discouraged. while studying Biology.,sad
I'm ready for the exam. while studying Mathematics.,confident
I feel disappointed with my marks. while studying Python.,sad
I'm afraid I'll fail. while studying Machine Learning.,anxious
I feel great after understanding it. while studying Python.,happy
I want to understand this concept better. while studying Mathematics.,curious
I feel discouraged. while studying English.,sad
This assignment is stressing me. while studying Python.,frustrated
I've tried many times but still can't solve it. while studying History.,frustrated
This lesson is boring. while studying Physics.,bored
I solved the problem successfully. while studying Data Structures.,happy
I cannot follow the steps. while studying Biology.,confused
This topic doesn't make sense to me. while studying Chemistry.,confused
I know I can solve these questions. while studying Chemistry.,confident
This lesson is boring. while studying Chemistry.,bored
I feel disappointed with my marks. while studying Data Structures.,sad
I've tried many times but still can't solve it. while studying Data Structures.,frustrated
The test is making me nervous. while studying Python.,anxious
The explanation is confusing. while studying Algorithms.,confused
Nothing seems to work. while studying Chemistry.,frustrated
I feel discouraged. while studying Python.,sad
I'm happy with my progress. while studying English.,happy
The class feels too slow. while studying Python.,bored
I feel great after understanding it. while studying History.,happy
I'm losing interest. while studying Python.,bored
I'm sad because I failed. while studying English.,sad
I studied hard but didn't succeed. while studying Physics.,sad
I solved the problem successfully. while studying Physics.,happy
I studied hard but didn't succeed. while studying Machine Learning.,sad
I want to understand this concept better. while studying Algorithms.,curious
I'm happy with my progress. while studying Mathematics.,happy
I'm confident about this subject. while studying English.,confident
This topic doesn't make sense to me. while studying Physics.,confused
The class feels too slow. while studying English.,bored
I cannot follow the steps. while studying Python.,confused
Learning this was fun. while studying Algorithms.,happy
I don't understand this lesson. while studying Algorithms.,confused
I'm confident about this subject. while studying Machine Learning.,confident
I feel great after understanding it. while studying English.,happy
This assignment is stressing me. while studying Algorithms.,frustrated
The test is making me nervous. while studying Data Structures.,anxious
I'm interested in learning more about this topic. while studying History.,curious
I'm worried about tomorrow's exam. while studying Mathematics.,anxious
I want to understand this concept better. while studying Chemistry.,curious
I feel discouraged. while studying Biology.,sad
I studied hard but didn't succeed. while studying Python.,sad
I studied hard but didn't succeed. while studying Chemistry.,sad
I can't stay focused. while studying English.,bored
I'm interested in learning more about this topic. while studying Machine Learning.,curious
I don't think I'm prepared. while studying Machine Learning.,anxious
I know I can solve these questions. while studying Algorithms.,confident
I'm interested in learning more about this topic. while studying Physics.,curious
This chapter makes me ask many questions. while studying Biology.,curious
I'm ready for the exam. while studying Python.,confident
I'm interested in learning more about this topic. while studying Chemistry.,curious
I solved the problem successfully. while studying Biology.,happy
I don't think I'm prepared. while studying History.,anxious
I cannot follow the steps. while studying Algorithms.,confused
This chapter makes me ask many questions. while studying Algorithms.,curious
I'm interested in learning more about this topic. while studying History.,curious
I know I can solve these questions. while studying English.,confident
I feel great after understanding it. while studying History.,happy
I'm worried about tomorrow's exam. while studying Algorithms.,anxious
I understand everything clearly. while studying English.,confident
The class feels too slow. while studying Chemistry.,bored
I'm worried about tomorrow's exam. while studying Algorithms.,anxious
Learning this was fun. while studying English.,happy
I feel great after understanding it. while studying Machine Learning.,happy
I feel discouraged. while studying History.,sad
This lesson is boring. while studying Data Structures.,bored
This topic doesn't make sense to me. while studying Chemistry.,confused
I can't stay focused. while studying Chemistry.,bored
This assignment is stressing me. while studying Chemistry.,frustrated
The class feels too slow. while studying Machine Learning.,bored
I'm confident about this subject. while studying Data Structures.,confident
I've tried many times but still can't solve it. while studying English.,frustrated
I don't understand this lesson. while studying Mathematics.,confused
This chapter makes me ask many questions. while studying Mathematics.,curious
I've tried many times but still can't solve it. while studying History.,frustrated
This assignment is stressing me. while studying Data Structures.,frustrated
I feel discouraged. while studying History.,sad
Learning this was fun. while studying Biology.,happy
I solved the problem successfully. while studying Mathematics.,happy
This topic doesn't make sense to me. while studying History.,confused
I enjoy exploring how this works. while studying Algorithms.,curious
This chapter makes me ask many questions. while studying Chemistry.,curious
I can't stay focused. while studying Data Structures.,bored
I keep making mistakes and feel frustrated. while studying Mathematics.,frustrated
I'm interested in learning more about this topic. while studying Biology.,curious
Learning this was fun. while studying Physics.,happy
I'm worried about tomorrow's exam. while studying History.,anxious
I solved the problem successfully. while studying English.,happy
I'm losing interest. while studying Mathematics.,bored
I feel great after understanding it. while studying English.,happy
I know I can solve these questions. while studying History.,confident
I'm losing interest. while studying Mathematics.,bored
I'm interested in learning more about this topic. while studying Chemistry.,curious
The explanation is confusing. while studying Biology.,confused
I feel discouraged. while studying History.,sad
I don't understand this lesson. while studying Physics.,confused
I'm afraid I'll fail. while studying Algorithms.,anxious
I want to understand this concept better. while studying Chemistry.,curious
I'm worried about tomorrow's exam. while studying English.,anxious
I want to understand this concept better. while studying English.,curious
I want to understand this concept better. while studying Data Structures.,curious
This topic doesn't make sense to me. while studying Data Structures.,confused
I'm worried about tomorrow's exam. while studying Machine Learning.,anxious
I'm losing interest. while studying English.,bored
I know I can solve these questions. while studying English.,confident
The class feels too slow. while studying Physics.,bored
This chapter makes me ask many questions. while studying Python.,curious
Learning this was fun. while studying Physics.,happy
I can't stay focused. while studying Biology.,bored
I'm losing interest. while studying Chemistry.,bored
I'm happy with my progress. while studying English.,happy
I cannot follow the steps. while studying Chemistry.,confused
I studied hard but didn't succeed. while studying Mathematics.,sad
This lesson is boring. while studying History.,bored
I'm ready for the exam. while studying Machine Learning.,confident
I studied hard but didn't succeed. while studying English.,sad
I'm losing interest. while studying History.,bored
I want to understand this concept better. while studying Algorithms.,curious
I cannot follow the steps. while studying Python.,confused
I'm worried about tomorrow's exam. while studying Physics.,anxious
This lesson is boring. while studying Chemistry.,bored
The class feels too slow. while studying Algorithms.,bored
I'm worried about tomorrow's exam. while studying Chemistry.,anxious
I cannot follow the steps. while studying Python.,confused
I studied hard but didn't succeed. while studying Python.,sad
I feel great after understanding it. while studying Chemistry.,happy
I'm ready for the exam. while studying History.,confident
I'm worried about tomorrow's exam. while studying Data Structures.,anxious
This assignment is stressing me. while studying Data Structures.,frustrated
I'm confident about this subject. while studying Biology.,confident
The class feels too slow. while studying Python.,bored
Nothing seems to work. while studying English.,frustrated
I can't stay focused. while studying History.,bored
I don't think I'm prepared. while studying Data Structures.,anxious
I enjoy exploring how this works. while studying Machine Learning.,curious
Nothing seems to work. while studying English.,frustrated
I'm happy with my progress. while studying Biology.,happy
Learning this was fun. while studying Chemistry.,happy
This lesson is boring. while studying Algorithms.,bored
The explanation is confusing. while studying Machine Learning.,confused
I cannot follow the steps. while studying Data Structures.,confused
I'm sad because I failed. while studying Machine Learning.,sad
This assignment is stressing me. while studying Machine Learning.,frustrated
I feel discouraged. while studying Machine Learning.,sad
I'm confident about this subject. while studying Machine Learning.,confident
I understand everything clearly. while studying Machine Learning.,confident
I'm ready for the exam. while studying Mathematics.,confident
I studied hard but didn't succeed. while studying Biology.,sad
I don't think I'm prepared. while studying History.,anxious
I've tried many times but still can't solve it. while studying Algorithms.,frustrated
I'm confident about this subject. while studying Biology.,confident
I know I can solve these questions. while studying Data Structures.,confident
The test is making me nervous. while studying English.,anxious
I'm interested in learning more about this topic. while studying History.,curious
Learning this was fun. while studying Machine Learning.,happy
I feel great after understanding it. while studying Data Structures.,happy
I can't stay focused. while studying Machine Learning.,bored
I cannot follow the steps. while studying Machine Learning.,confused
I want to understand this concept better. while studying Algorithms.,curious
I understand everything clearly. while studying Python.,confident
I don't understand this lesson. while studying Mathematics.,confused
I keep making mistakes and feel frustrated. while studying Algorithms.,frustrated
I cannot follow the steps. while studying Physics.,confused
I'm losing interest. while studying Physics.,bored
Learning this was fun. while studying Python.,happy
Learning this was fun. while studying Biology.,happy
I solved the problem successfully. while studying Machine Learning.,happy
I feel disappointed with my marks. while studying Physics.,sad
I'm confident about this subject. while studying Physics.,confident
I enjoy exploring how this works. while studying Data Structures.,curious
I don't think I'm prepared. while studying Python.,anxious
Nothing seems to work. while studying Biology.,frustrated
The test is making me nervous. while studying Biology.,anxious
This topic doesn't make sense to me. while studying Mathematics.,confused
I'm happy with my progress. while studying Chemistry.,happy
I'm sad because I failed. while studying Physics.,sad
I understand everything clearly. while studying Python.,confident
I understand everything clearly. while studying History.,confident
This lesson is boring. while studying Physics.,bored
I'm afraid I'll fail. while studying Machine Learning.,anxious
I'm losing interest. while studying History.,bored
Learning this was fun. while studying Algorithms.,happy
I want to understand this concept better. while studying Python.,curious
The explanation is confusing. while studying Mathematics.,confused
The test is making me nervous. while studying English.,anxious
This lesson is boring. while studying Mathematics.,bored
The test is making me nervous. while studying Machine Learning.,anxious
Nothing seems to work. while studying Machine Learning.,frustrated
This assignment is stressing me. while studying Physics.,frustrated
I've tried many times but still can't solve it. while studying History.,frustrated
I don't understand this lesson. while studying Python.,confused
I enjoy exploring how this works. while studying Chemistry.,curious
I understand everything clearly. while studying English.,confident
This chapter makes me ask many questions. while studying Biology.,curious
I want to understand this concept better. while studying Chemistry.,curious
I'm sad because I failed. while studying Python.,sad
I enjoy exploring how this works. while studying Biology.,curious
This assignment is stressing me. while studying Python.,frustrated
I don't think I'm prepared. while studying History.,anxious
This lesson is boring. while studying Chemistry.,bored
I enjoy exploring how this works. while studying Biology.,curious
I'm afraid I'll fail. while studying History.,anxious
I'm worried about tomorrow's exam. while studying History.,anxious
This assignment is stressing me. while studying English.,frustrated
The test is making me nervous. while studying Algorithms.,anxious
I've tried many times but still can't solve it. while studying Data Structures.,frustrated
I've tried many times but still can't solve it. while studying Algorithms.,frustrated
This topic doesn't make sense to me. while studying English.,confused
The explanation is confusing. while studying Physics.,confused
